Id,Categoria,Letra,Palavra
1,Marca,A,Adidas
2,Marca,A,Apple
3,Marca,A,Ambev
4,Marca,A,Arno
5,Marca,A,Avon
6,Marca,A,Americanas
7,Marca,A,Ades
8,Marca,A,Azaleia
9,Marca,B,Bombril
10,Marca,B,Brastemp
11,Marca,B,Boticário
12,Marca,B,Bic
13,Marca,B,Britânia
14,Marca,B,Burger King
15,Marca,C,Coca-Cola
16,Marca,C,Casas Bahia
17,Marca,C,Chevrolet
18,Marca,C,Colgate
19,Marca,C,Consul
20,Marca,C,Claro
21,Marca,D,Dell
22,Marca,D,Danone
23,Marca,D,Duracell
24,Marca,D,Docol
25,Marca,D,Diesel
26,Marca,E,Electrolux
27,Marca,E,Embraer
28,Marca,E,Epson
29,Marca,E,Esso
30,Marca,E,Etna
31,Marca,F,Ford
32,Marca,F,Fiat
33,Marca,F,Faber-Castell
34,Marca,F,Fanta
35,Marca,F,Fila
36,Marca,G,Google
37,Marca,G,Gillette
38,Marca,G,Gradiente
39,Marca,G,Guaraná Antarctica
40,Marca,G,Grendene
41,Marca,H,Honda
42,Marca,H,Hyundai
43,Marca,H,Havaianas
44,Marca,H,Heineken
45,Marca,H,Hering
46,Marca,I,Itaú
47,Marca,I,Ipiranga
48,Marca,I,Intel
49,Marca,I,Itambé
50,Marca,I,Ibyte
51,Marca,J,Johnson
52,Marca,J,JBL
53,Marca,J,Jeep
54,Marca,J,Jequiti
55,Marca,K,Kibon
56,Marca,K,Kodak
57,Marca,K,Klabin
58,Marca,K,Kopenhagen
59,Marca,K,Kia
60,Marca,L,LG
61,Marca,L,Lacta
62,Marca,L,Localiza
63,Marca,L,Lupo
64,Marca,L,Loreal
65,Marca,M,Microsoft
66,Marca,M,Motorola
67,Marca,M,Multilaser
68,Marca,M,Melitta
69,Marca,M,Mizuno
70,Marca,M,McDonald's
71,Marca,M,Mercado Livre
72,Marca,N,Nike
73,Marca,N,Natura
74,Marca,N,Nestlé
75,Marca,N,Nivea
76,Marca,N,Nubank
77,Marca,O,Oral-B
78,Marca,O,Omo
79,Marca,O,Osklen
80,Marca,O,Oakley
81,Marca,O,Ovomaltine
82,Marca,P,Pepsi
83,Marca,P,Philips
84,Marca,P,Pirelli
85,Marca,P,Polishop
86,Marca,P,Piracanjuba
87,Marca,P,Petrobras
88,Marca,Q,Qualy
89,Marca,Q,Quaker
90,Marca,R,Renault
91,Marca,R,Riachuelo
92,Marca,R,Rexona
93,Marca,R,Reebok
94,Marca,R,Renner
95,Marca,S,Samsung
96,Marca,S,Sadia
97,Marca,S,Sony
98,Marca,S,Skol
99,Marca,S,Seara
100,Marca,S,Spotify
101,Marca,T,Toyota
102,Marca,T,Tramontina
103,Marca,T,Tim
104,Marca,T,Toddy
105,Marca,T,Todeschini
106,Marca,U,Unilever
107,Marca,U,Under Armour
108,Marca,U,Usaflex
109,Marca,U,Ultragaz
110,Marca,U,Uber
111,Marca,V,Volkswagen
112,Marca,V,Vivo
113,Marca,V,Vigor
114,Marca,V,Vulcabras
115,Marca,V,Vult
116,Marca,W,Whirlpool
117,Marca,W,Walmart
118,Marca,X,Xerox
119,Marca,X,Xbox
120,Marca,Y,Yamaha
121,Marca,Y,Yakult
122,Marca,Z,Zara
123,Marca,Z,Zoomp
124,Profissão,A,Advogado
125,Profissão,A,Arquiteto
126,Profissão,A,Ator
127,Profissão,A,Analista
128,Profissão,A,Astronauta
129,Profissão,A,Agrônomo
130,Profissão,A,Administrador
131,Profissão,A,Auditor
132,Profissão,A,Apicultor
133,Profissão,A,Alfaiate
134,Profissão,A,Arqueólogo
135,Profissão,A,Atendente
136,Profissão,A,Açougueiro
137,Profissão,A,Ajudante Geral
138,Profissão,A,Almoxarife
139,Profissão,A,Antropólogo
140,Profissão,A,Apresentador
141,Profissão,A,Árbitro
142,Profissão,A,Artesão
143,Profissão,A,Assessor
144,Profissão,A,Auxiliar Administrativo
145,Profissão,A,Auxiliar de Enfermagem
146,Profissão,A,Assistente Social
147,Profissão,B,Bombeiro
148,Profissão,B,Biólogo
149,Profissão,B,Bibliotecário
150,Profissão,B,Barbeiro
151,Profissão,B,Banqueiro
152,Profissão,B,Balconista
153,Profissão,B,Bancário
154,Profissão,B,Bailarino
155,Profissão,B,Biomédico
156,Profissão,B,Botânico
157,Profissão,C,Cozinheiro
158,Profissão,C,Contador
159,Profissão,C,Cientista
160,Profissão,C,Carpinteiro
161,Profissão,C,Costureira
162,Profissão,C,Consultor
163,Profissão,C,Coordenador
164,Profissão,C,Corretor de Imóveis
165,Profissão,C,Cabeleireiro
166,Profissão,C,Cardiologista
167,Profissão,C,Cirurgião
168,Profissão,C,Comissário de Bordo
169,Profissão,C,Confeiteiro
170,Profissão,C,Caminhoneiro
171,Profissão,D,Dentista
172,Profissão,D,Designer
173,Profissão,D,Delegado
174,Profissão,D,Diplomata
175,Profissão,D,Digitador
176,Profissão,E,Engenheiro
177,Profissão,E,Enfermeiro
178,Profissão,E,Escritor
179,Profissão,E,Eletricista
180,Profissão,E,Economista
181,Profissão,F,Farmacêutico
182,Profissão,F,Fotógrafo
183,Profissão,F,Fisioterapeuta
184,Profissão,F,Faxineiro
185,Profissão,F,Frentista
186,Profissão,G,Garçom
187,Profissão,G,Geólogo
188,Profissão,G,Gerente
189,Profissão,G,Guia
190,Profissão,G,Gari
191,Profissão,H,Historiador
192,Profissão,H,Hoteleiro
193,Profissão,I,Ilustrador
194,Profissão,I,Instrutor
195,Profissão,I,Investigador
196,Profissão,I,Intérprete
197,Profissão,I,Instalador
198,Profissão,J,Jornalista
199,Profissão,J,Jardineiro
200,Profissão,J,Juiz
201,Profissão,J,Joalheiro
202,Profissão,L,Locutor
203,Profissão,L,Linguista
204,Profissão,L,Lavrador
205,Profissão,L,Leiloeiro
206,Profissão,M,Médico
207,Profissão,M,Motorista
208,Profissão,M,Motoboy
209,Profissão,M,Marceneiro
210,Profissão,M,Mecânico
211,Profissão,M,Maquiador
212,Profissão,M,Massagista
213,Profissão,M,Modelo
214,Profissão,M,Montador
215,Profissão,M,Meteorologista
216,Profissão,M,Missionário
217,Profissão,N,Nutricionista
218,Profissão,N,Neurologista
219,Profissão,N,Notário
220,Profissão,N,Navegador
221,Profissão,O,Odontólogo
222,Profissão,O,Operador
223,Profissão,O,Oftalmologista
224,Profissão,O,Oceanógrafo
225,Profissão,P,Professor
226,Profissão,P,Pintor
227,Profissão,P,Padeiro
228,Profissão,P,Piloto
229,Profissão,P,Psicólogo
230,Profissão,P,Pediatra
231,Profissão,P,Pedreiro
232,Profissão,P,Perito
233,Profissão,P,Pesquisador
234,Profissão,P,Policial
235,Profissão,P,Porteiro
236,Profissão,P,Programador
237,Profissão,P,Publicitário
238,Profissão,Q,Químico
239,Profissão,Q,Quiropraxista
240,Profissão,R,Repórter
241,Profissão,R,Radialista
242,Profissão,R,Recepcionista
243,Profissão,R,Representante
244,Profissão,R,Roteirista
245,Profissão,R,Redator
246,Profissão,R,Revisor
247,Profissão,S,Secretária
248,Profissão,S,Segurança
249,Profissão,S,Soldado
250,Profissão,S,Sociólogo
251,Profissão,S,Salva-vidas
252,Profissão,S,Servente
253,Profissão,S,Serralheiro
254,Profissão,S,Sapateiro
255,Profissão,S,Supervisor
256,Profissão,S,Síndico
257,Profissão,T,Taxista
258,Profissão,T,Tradutor
259,Profissão,T,Técnico
260,Profissão,T,Terapeuta
261,Profissão,T,Treinador
262,Profissão,T,Tatuador
263,Profissão,T,Tecelão
264,Profissão,T,Técnico em Enfermagem
265,Profissão,T,Técnico em Informática
266,Profissão,T,Torneiro Mecânico
267,Profissão,U,Urbanista
268,Profissão,U,Ultrassonografista
269,Profissão,V,Veterinário
270,Profissão,V,Vendedor
271,Profissão,V,Vigilante
272,Profissão,Z,Zelador
273,Profissão,Z,Zootecnista
274,Comida,A,Abacaxi
275,Comida,A,Arroz
276,Comida,A,Alface
277,Comida,A,Amendoim
278,Comida,A,Abóbora
279,Comida,A,Azeitona
280,Comida,A,Aveia
281,Comida,A,Alho
282,Comida,A,Acelga
283,Comida,A,Agrião
284,Comida,A,Alcachofra
285,Comida,A,Amora
286,Comida,A,Ameixa
287,Comida,A,Atum
288,Comida,A,Aspargo
289,Comida,A,Abobrinha
290,Comida,A,Azeite
291,Comida,B,Banana
292,Comida,B,Batata
293,Comida,B,Bolo
294,Comida,B,Biscoito
295,Comida,B,Bife
296,Comida,B,Brócolis
297,Comida,B,Beterraba
298,Comida,B,Bacon
299,Comida,B,Berinjela
300,Comida,B,Bolinho
301,Comida,B,Broa
302,Comida,C,Chocolate
303,Comida,C,Churrasco
304,Comida,C,Cenoura
305,Comida,C,Cebola
306,Comida,C,Coxinha
307,Comida,C,Camarão
308,Comida,C,Canja
309,Comida,C,Caju
310,Comida,C,Coco
311,Comida,C,Costela
312,Comida,C,Croissant
313,Comida,C,Cuscuz
314,Comida,C,Café
315,Comida,C,Canjica
316,Comida,D,Damasco
317,Comida,D,Doce de leite
318,Comida,E,Espaguete
319,Comida,E,Ervilha
320,Comida,E,Empada
321,Comida,E,Escondidinho
322,Comida,E,Espinafre
323,Comida,F,Feijão
324,Comida,F,Farofa
325,Comida,F,Frango
326,Comida,F,Figo
327,Comida,F,Framboesa
328,Comida,G,Goiaba
329,Comida,G,Galinha
330,Comida,G,Gelatina
331,Comida,G,Grão-de-bico
332,Comida,G,Geleia
333,Comida,H,Hambúrguer
334,Comida,H,Homus
335,Comida,I,Iogurte
336,Comida,I,Inhame
337,Comida,I,Isca de frango
338,Comida,J,Jaca
339,Comida,J,Jiló
340,Comida,J,Jabuticaba
341,Comida,K,Kani
342,Comida,K,Ketchup
343,Comida,K,Kiwi
344,Comida,L,Limão
345,Comida,L,Laranja
346,Comida,L,Lasanha
347,Comida,L,Leite
348,Comida,L,Linguiça
349,Comida,M,Maçã
350,Comida,M,Manga
351,Comida,M,Melancia
352,Comida,M,Milho
353,Comida,M,Macarrão
354,Comida,M,Mandioca
355,Comida,M,Morango
356,Comida,M,Mamão
357,Comida,M,Mel
358,Comida,M,Maracujá
359,Comida,M,Mexilhão
360,Comida,M,Merengue
361,Comida,M,Muffin
362,Comida,N,Nata
363,Comida,N,Nozes
364,Comida,N,Noz-moscada
365,Comida,O,Ovo
366,Comida,O,Ostra
367,Comida,O,Orégano
368,Comida,P,Pão
369,Comida,P,Pizza
370,Comida,P,Pêra
371,Comida,P,Pepino
372,Comida,P,Presunto
373,Comida,P,Panqueca
374,Comida,P,Pudim
375,Comida,P,Picanha
376,Comida,P,Pimentão
377,Comida,P,Pipoca
378,Comida,P,Pastel
379,Comida,P,Peru
380,Comida,P,Polenta
381,Comida,Q,Queijo
382,Comida,Q,Quiabo
383,Comida,Q,Quibe
