Id,Categoria,Letra,Palavra
1,Marca,A,Adidas
2,Marca,A,Apple
3,Marca,A,Ambev
4,Marca,A,Arno
5,Marca,A,Avon
6,Marca,B,Bombril
7,Marca,B,Brastemp
8,Marca,B,Boticário
9,Marca,B,Bic
10,Marca,B,Britânia
11,Marca,C,Coca-Cola
12,Marca,C,Casas Bahia
13,Marca,C,Chevrolet
14,Marca,C,Colgate
15,Marca,C,Consul
16,Marca,D,Dell
17,Marca,D,Danone
18,Marca,D,Duracell
19,Marca,D,Docol
20,Marca,D,Diesel
21,Marca,E,Electrolux
22,Marca,E,Embraer
23,Marca,E,Epson
24,Marca,E,Esso
25,Marca,E,Etna
26,Marca,F,Ford
27,Marca,F,Fiat
28,Marca,F,Faber-Castell
29,Marca,F,Fanta
30,Marca,F,Fila
31,Marca,G,Google
32,Marca,G,Gillette
33,Marca,G,Gradiente
34,Marca,G,Guaraná Antarctica
35,Marca,G,Grendene
36,Marca,H,Honda
37,Marca,H,Hyundai
38,Marca,H,Havaianas
39,Marca,H,Heineken
40,Marca,H,Hering
41,Marca,I,Itaú
42,Marca,I,Ipiranga
43,Marca,I,Intel
44,Marca,I,Itambé
45,Marca,I,Ibyte
46,Marca,J,Johnson
47,Marca,J,JBL
48,Marca,J,Jeep
49,Marca,J,Jequiti
50,Marca,K,Kibon
51,Marca,K,Kodak
52,Marca,K,Klabin
53,Marca,K,Kopenhagen
54,Marca,K,Kia
55,Marca,L,LG
56,Marca,L,Lacta
57,Marca,L,Localiza
58,Marca,L,Lupo
59,Marca,L,Loreal
60,Marca,M,Microsoft
61,Marca,M,Motorola
62,Marca,M,Multilaser
63,Marca,M,Melitta
64,Marca,M,Mizuno
65,Marca,N,Nike
66,Marca,N,Natura
67,Marca,N,Nestlé
68,Marca,N,Nivea
69,Marca,N,Nubank
70,Marca,O,Oral-B
71,Marca,O,Omo
72,Marca,O,Osklen
73,Marca,O,Oakley
74,Marca,O,Ovomaltine
75,Marca,P,Pepsi
76,Marca,P,Philips
77,Marca,P,Pirelli
78,Marca,P,Polishop
79,Marca,P,Piracanjuba
80,Marca,Q,Qualy
81,Marca,Q,Quaker
82,Marca,R,Renault
83,Marca,R,Riachuelo
84,Marca,R,Rexona
85,Marca,R,Reebok
86,Marca,R,Renner
87,Marca,S,Samsung
88,Marca,S,Sadia
89,Marca,S,Sony
90,Marca,S,Skol
91,Marca,S,Seara
92,Marca,T,Toyota
93,Marca,T,Tramontina
94,Marca,T,Tim
95,Marca,T,Toddy
96,Marca,T,Todeschini
97,Marca,U,Unilever
98,Marca,U,Under Armour
99,Marca,U,Usaflex
100,Marca,U,Ultragaz
101,Marca,U,Uber
102,Marca,V,Volkswagen
103,Marca,V,Vivo
104,Marca,V,Vigor
105,Marca,V,Vulcabras
106,Marca,V,Vult
107,Marca,W,Whirlpool
108,Marca,W,Walmart
109,Marca,X,Xerox
110,Marca,X,Xbox
111,Marca,Y,Yamaha
112,Marca,Y,Yakult
113,Marca,Z,Zara
114,Marca,Z,Zoomp
115,Profissão,A,Advogado
116,Profissão,A,Arquiteto
117,Profissão,A,Ator
118,Profissão,A,Analista
119,Profissão,A,Astronauta
120,Profissão,B,Bombeiro
121,Profissão,B,Biólogo
122,Profissão,B,Bibliotecário
123,Profissão,B,Barbeiro
124,Profissão,B,Banqueiro
125,Profissão,C,Cozinheiro
126,Profissão,C,Contador
127,Profissão,C,Cientista
128,Profissão,C,Carpinteiro
129,Profissão,C,Costureira
130,Profissão,D,Dentista
131,Profissão,D,Designer
132,Profissão,D,Delegado
133,Profissão,D,Diplomata
134,Profissão,D,Digitador
135,Profissão,E,Engenheiro
136,Profissão,E,Enfermeiro
137,Profissão,E,Escritor
138,Profissão,E,Eletricista
139,Profissão,E,Economista
140,Profissão,F,Farmacêutico
141,Profissão,F,Fotógrafo
142,Profissão,F,Fisioterapeuta
143,Profissão,F,Faxineiro
144,Profissão,F,Frentista
145,Profissão,G,Garçom
146,Profissão,G,Geólogo
147,Profissão,G,Gerente
148,Profissão,G,Guia
149,Profissão,G,Gari
150,Profissão,H,Historiador
151,Profissão,H,Hoteleiro
152,Profissão,I,Ilustrador
153,Profissão,I,Instrutor
154,Profissão,I,Investigador
155,Profissão,I,Intérprete
156,Profissão,I,Instalador
157,Profissão,J,Jornalista
158,Profissão,J,Jardineiro
159,Profissão,J,Juiz
160,Profissão,J,Joalheiro
161,Profissão,L,Locutor
162,Profissão,L,Linguista
163,Profissão,L,Lavrador
164,Profissão,L,Leiloeiro
165,Profissão,M,Médico
166,Profissão,M,Motorista
167,Profissão,M,Motoboy
168,Profissão,M,Marceneiro
169,Profissão,M,Mecânico
170,Profissão,N,Nutricionista
171,Profissão,N,Neurologista
172,Profissão,N,Notário
173,Profissão,N,Navegador
174,Profissão,O,Odontólogo
175,Profissão,O,Operador
176,Profissão,O,Oftalmologista
177,Profissão,O,Oceanógrafo
178,Profissão,P,Professor
179,Profissão,P,Pintor
180,Profissão,P,Padeiro
181,Profissão,P,Piloto
182,Profissão,P,Psicólogo
183,Profissão,Q,Químico
184,Profissão,Q,Quiropraxista
185,Profissão,R,Repórter
186,Profissão,R,Radialista
187,Profissão,R,Recepcionista
188,Profissão,R,Representante
189,Profissão,S,Secretária
190,Profissão,S,Segurança
191,Profissão,S,Soldado
192,Profissão,S,Sociólogo
193,Profissão,S,Salva-vidas
194,Profissão,T,Taxista
195,Profissão,T,Tradutor
196,Profissão,T,Técnico
197,Profissão,T,Terapeuta
198,Profissão,T,Treinador
199,Profissão,U,Urbanista
200,Profissão,U,Ultrassonografista
201,Profissão,V,Veterinário
202,Profissão,V,Vendedor
203,Profissão,V,Vigilante
204,Profissão,Z,Zelador
205,Profissão,Z,Zootecnista
206,Comida,A,Abacaxi
207,Comida,A,Arroz
208,Comida,A,Alface
209,Comida,A,Amendoim
210,Comida,A,Abóbora
211,Comida,B,Banana
212,Comida,B,Batata
213,Comida,B,Bolo
214,Comida,B,Biscoito
215,Comida,B,Bife
216,Comida,C,Chocolate
217,Comida,C,Churrasco
218,Comida,C,Cenoura
219,Comida,C,Cebola
220,Comida,C,Coxinha
221,Comida,D,Damasco
222,Comida,D,Doce de leite
223,Comida,E,Espaguete
224,Comida,E,Ervilha
225,Comida,E,Empada
226,Comida,E,Escondidinho
227,Comida,E,Espinafre
228,Comida,F,Feijão
229,Comida,F,Farofa
230,Comida,F,Frango
231,Comida,F,Figo
232,Comida,F,Framboesa
233,Comida,G,Goiaba
234,Comida,G,Galinha
235,Comida,G,Gelatina
236,Comida,G,Grão-de-bico
237,Comida,G,Geleia
238,Comida,H,Hambúrguer
239,Comida,H,Homus
240,Comida,I,Iogurte
241,Comida,I,Inhame
242,Comida,I,Isca de frango
243,Comida,J,Jaca
244,Comida,J,Jiló
245,Comida,J,Jabuticaba
246,Comida,K,Kani
247,Comida,K,Ketchup
248,Comida,K,Kiwi
249,Comida,L,Limão
250,Comida,L,Laranja
251,Comida,L,Lasanha
252,Comida,L,Leite
253,Comida,L,Linguiça
254,Comida,M,Maçã
255,Comida,M,Manga
256,Comida,M,Melancia
257,Comida,M,Milho
258,Comida,M,Macarrão
259,Comida,N,Nata
260,Comida,N,Nozes
261,Comida,N,Noz-moscada
262,Comida,O,Ovo
263,Comida,O,Ostra
264,Comida,O,Orégano
265,Comida,P,Pão
266,Comida,P,Pizza
267,Comida,P,Pêra
268,Comida,P,Pepino
269,Comida,P,Presunto
270,Comida,Q,Queijo
271,Comida,Q,Quiabo
272,Comida,Q,Quibe
273,Comida,R,Repolho
274,Comida,R,Rúcula
275,Comida,R,Risoto
276,Comida,S,Salada
277,Comida,S,Salgadinho
278,Comida,S,Sorvete
279,Comida,S,Suco
280,Comida,S,Sanduíche
281,Comida,T,Tomate
282,Comida,T,Torta
283,Comida,T,Tapioca
284,Comida,T,Tangerina
285,Comida,T,Trigo
286,Comida,U,Uva
287,Comida,V,Vagem
288,Comida,V,Vitamina
289,Comida,V,Vinagre
290,Comida,W,Waffle
291,Comida,X,Xerém
292,Comida,Y,Yakisoba
293,Comida,Z,Zabaione
294,Filmes,A,Avatar
295,Filmes,A,Aladdin
296,Filmes,A,Alien
297,Filmes,B,Batman
298,Filmes,B,Bastardos Inglórios
299,Filmes,B,Bumblebee
300,Filmes,B,Barbie
301,Filmes,C,Coringa
302,Filmes,C,Cinderela
303,Filmes,C,Casablanca
304,Filmes,C,Crepúsculo
305,Filmes,C,Coco
306,Filmes,D,Duna
307,Filmes,D,Divertida Mente
308,Filmes,D,Deadpool
309,Filmes,D,Drácula
310,Filmes,D,Django Livre
311,Filmes,E,Ex-Machina
312,Filmes,E,Encanto
313,Filmes,F,Frozen
314,Filmes,F,Ford v Ferrari
315,Filmes,F,Forrest Gump
316,Filmes,G,Gladiador
317,Filmes,G,Gravidade
318,Filmes,G,Grease
319,Filmes,G,Godzilla
320,Filmes,H,Homem-Aranha
321,Filmes,H,Harry Potter
322,Filmes,H,Hulk
323,Filmes,H,Hércules
324,Filmes,I,Interestelar
325,Filmes,I,Invocação do Mal
326,Filmes,I,Intocáveis
327,Filmes,J,Jumanji
328,Filmes,J,Jurassic Park
329,Filmes,J,John Wick
330,Filmes,K,King Kong
331,Filmes,K,Karatê Kid
332,Filmes,L,La La Land
333,Filmes,L,Logan
334,Filmes,L,Lilo e Stitch
335,Filmes,M,Matrix
336,Filmes,M,Moana
337,Filmes,M,Madagascar
338,Filmes,M,Missão Impossível
339,Filmes,M,Mulan
340,Filmes,N,Nemo
341,Filmes,N,Náufrago
342,Filmes,O,Oppenheimer
343,Filmes,O,Operação Big Hero
344,Filmes,P,Pantera Negra
345,Filmes,P,Piratas do Caribe
346,Filmes,P,Procurando Dory
347,Filmes,Q,Quarteto Fantástico
348,Filmes,R,Rocky
349,Filmes,R,Rio
350,Filmes,R,Ratatouille
351,Filmes,R,Rei Leão
352,Filmes,S,Shrek
353,Filmes,S,Star Wars
354,Filmes,S,Sonic
355,Filmes,S,Simplesmente Amor
356,Filmes,T,Titanic
357,Filmes,T,Toy Story
358,Filmes,T,Thor
359,Filmes,T,Tubarão
360,Filmes,U,Up - Altas Aventuras
361,Filmes,U,Uma Linda Mulher
362,Filmes,V,Vingadores
363,Filmes,V,Velozes e Furiosos
364,Filmes,V,Viva - A Vida é uma Festa
365,Filmes,W,Wall-E
366,Filmes,W,Wicked
367,Filmes,X,X-Men
368,Filmes,Z,Zootopia
369,Filmes,Z,Z: A Cidade Perdida
370,Séries,A,Arcane
371,Séries,A,American Horror Story
372,Séries,A,Anne with an E
373,Séries,B,Breaking Bad
374,Séries,B,Bridgerton
375,Séries,B,Black Mirror
376,Séries,C,Chernobyl
377,Séries,C,Cobra Kai
378,Séries,C,CSI
